name,level,province,city,district,address,category,description,latitude,longitude,coordinate_system
恭王府,5A,北京,北京市,西城区,北京西城区柳荫街甲14号恭王府,景点景区,国家5A旅游景区。所属地：北京·北京市·西城区。地址：北京西城区柳荫街甲14号恭王府。,39.9358144,116.3800742,wgs84
八达岭长城风景名胜区,5A,北京,北京市,延庆区,北京延庆区北京市延庆区八达岭旅游公司院内八达岭长城风景名胜区,景点景区,国家5A旅游景区。所属地：北京·北京市·延庆区。地址：北京延庆区北京市延庆区八达岭旅游公司院内八达岭长城风景名胜区。,40.3548924,116.0105793,wgs84
天坛公园,5A,北京,北京市,东城区,北京东城区天坛内东里7号天坛公园管理处天坛公园,景点景区,国家5A旅游景区。所属地：北京·北京市·东城区。地址：北京东城区天坛内东里7号天坛公园管理处天坛公园。,39.8805463,116.4046460,wgs84
慕田峪长城,5A,北京,北京市,怀柔区,北京怀柔区渤海镇慕田峪村慕田峪长城,景点景区,国家5A旅游景区。所属地：北京·北京市·怀柔区。地址：北京怀柔区渤海镇慕田峪村慕田峪长城。,40.4297075,116.5581503,wgs84
故宫博物院,5A,北京,北京市,东城区,北京东城区景山前街4号故宫博物院,景点景区,国家5A旅游景区。所属地：北京·北京市·东城区。地址：北京东城区景山前街4号故宫博物院。,39.9166566,116.3907839,wgs84
圆明园遗址公园,5A,北京,北京市,海淀区,北京海淀区清华西路28号圆明园遗址公园,景点景区,国家5A旅游景区。所属地：北京·北京市·海淀区。地址：北京海淀区清华西路28号圆明园遗址公园。,39.9993264,116.3062185,wgs84
颐和园,5A,北京,北京市,海淀区,北京海淀区北京海淀区宫门前街甲23号颐和园,景点景区,国家5A旅游景区。所属地：北京·北京市·海淀区。地址：北京海淀区北京海淀区宫门前街甲23号颐和园。,39.9912052,116.2668337,wgs84
北京市奥林匹克公园,5A,北京,北京市,朝阳区,北京朝阳区朝阳区北辰东路15号北京市奥林匹克公园,景点景区,国家5A旅游景区。所属地：北京·北京市·朝阳区。地址：北京朝阳区朝阳区北辰东路15号北京市奥林匹克公园。,40.0136073,116.3862845,wgs84
十三陵,5A,北京,北京市,昌平区,北京昌平区十三陵特区办事处十三陵,景点景区,国家5A旅游景区。所属地：北京·北京市·昌平区。地址：北京昌平区十三陵特区办事处十三陵。,40.2989698,116.2427942,wgs84
通州大运河森林旅游区,4A,北京,北京市,通州区,北京通州区北京市通州区通胡大街奥体公园通州大运河森林旅游区,景点景区,国家4A旅游景区。所属地：北京·北京市·通州区。地址：北京通州区北京市通州区通胡大街奥体公园通州大运河森林旅游区。,39.9073710,116.6823349,wgs84
中国园林博物馆,4A,北京,北京市,丰台区,北京丰台区北京市丰台区射击场路15号中国园林博物馆,景点景区,国家4A旅游景区。所属地：北京·北京市·丰台区。地址：北京丰台区北京市丰台区射击场路15号中国园林博物馆。,39.8779921,116.1706773,wgs84
北京世园公园,4A,北京,北京市,延庆区,北京延庆区北京市延庆区环湖南路北京世园公园,景点景区,国家4A旅游景区。所属地：北京·北京市·延庆区。地址：北京延庆区北京市延庆区环湖南路北京世园公园。,40.4413946,115.9415808,wgs84
北京市房山区周口店遗址景区,4A,北京,北京市,房山区,北京房山区周口店大街1号北京市房山区周口店遗址景区,景点景区,国家4A旅游景区。所属地：北京·北京市·房山区。地址：北京房山区周口店大街1号北京市房山区周口店遗址景区。,39.6870666,115.9225267,wgs84
野鸭湖景区,4A,北京,北京市,延庆区,北京延庆区康庄镇刘浩营村西野鸭湖景区,景点景区,国家4A旅游景区。所属地：北京·北京市·延庆区。地址：北京延庆区康庄镇刘浩营村西野鸭湖景区。,40.4077904,115.8516354,wgs84
国家植物园,4A,北京,北京市,海淀区,北京海淀区北京市植物园(卧佛寺)国家植物园,景点景区,国家4A旅游景区。所属地：北京·北京市·海淀区。地址：北京海淀区北京市植物园(卧佛寺)国家植物园。,39.9903642,116.2043854,wgs84
凤凰岭自然风景区,4A,北京,北京市,海淀区,北京海淀区苏家坨镇凤凰岭路19号凤凰岭自然风景区,景点景区,国家4A旅游景区。所属地：北京·北京市·海淀区。地址：北京海淀区苏家坨镇凤凰岭路19号凤凰岭自然风景区。,40.1048177,116.0788321,wgs84
世界公园,4A,北京,北京市,丰台区,北京丰台区花乡大葆台158号世界公园,景点景区,国家4A旅游景区。所属地：北京·北京市·丰台区。地址：北京丰台区花乡大葆台158号世界公园。,39.8092012,116.2813674,wgs84
雁栖湖旅游区,4A,北京,北京市,怀柔区,北京怀柔区北京市怀柔区怀北镇雁水路3号雁栖湖旅游区,景点景区,国家4A旅游景区。所属地：北京·北京市·怀柔区。地址：北京怀柔区北京市怀柔区怀北镇雁水路3号雁栖湖旅游区。,40.3913808,116.6627402,wgs84
京东石林峡风景区,4A,北京,北京市,平谷区,北京平谷区北京市平谷区雕窝村73号京东石林峡风景区,景点景区,国家4A旅游景区。所属地：北京·北京市·平谷区。地址：北京平谷区北京市平谷区雕窝村73号京东石林峡风景区。,40.2603425,117.2442102,wgs84
